ID,Black,White,Result
436,Barker W.R.,Wyllie J.,0
437,Bowen R.E.,Kear J.A.,0
438,Wyllie J.,Barker W.R.,0
439,Bowen R.E.,Kear J.A.,2
440,Barker W.R.,Wyllie J.,0
441,Bowen R.E.,Kear J.A.,1
442,Wyllie J.,Barker W.R.,0
443,Bowen R.E.,Kear J.A.,0
444,Barker W.R.,Wyllie J.,0
445,Bowen R.E.,Kear J.A.,1
446,Wyllie J.,Barker W.R.,1
447,Bowen R.E.,Kear J.A.,2
448,Barker W.R.,Wyllie J.,0
449,Bowen R.E.,Kear J.A.,0
450,Wyllie J.,Barker W.R.,0
451,Kear J.A.,Bowen R.E.,2
452,Barker W.R.,Wyllie J.,0
453,Kear J.A.,Bowen R.E.,1
454,Wyllie J.,Barker W.R.,0
455,Kear J.A.,Bowen R.E.,0
456,Barker W.R.,Wyllie J.,0
457,Kear J.A.,Bowen R.E.,0
458,Wyllie J.,Barker W.R.,0
459,Kear J.A.,Bowen R.E.,0
460,Barker W.R.,Wyllie J.,0
461,Kear J.A.,Bowen R.E.,2
462,Wyllie J.,Barker W.R.,0
463,Kear J.A.,Bowen R.E.,0
464,Barker W.R.,Wyllie J.,0
465,Wyllie J.,Barker W.R.,0
466,Bletcher J.,Fletcher T.,1
467,Barker W.R.,Wyllie J.,2
468,Wyllie J.,Barker W.R.,0
469,Bletcher J.,Fletcher T.,0
470,Barker W.R.,Wyllie J.,0
471,Fletcher T.,Bletcher J.,0
472,Wyllie J.,Barker W.R.,0
473,Bletcher J.,Fletcher T.,1
474,Barker W.R.,Wyllie J.,1
475,Wyllie J.,Barker W.R.,0
476,Barker W.R.,Wyllie J.,0
477,Wyllie J.,Barker W.R.,0
478,Barker W.R.,Wyllie J.,0
479,Wyllie J.,Barker W.R.,0
480,Barker W.R.,Wyllie J.,0
481,Wyllie J.,Barker W.R.,0
482,Barker W.R.,Wyllie J.,0
483,Wyllie J.,Barker W.R.,0
484,Barker W.R.,Wyllie J.,0
485,Wyllie J.,Barker W.R.,0
486,Barker W.R.,Wyllie J.,0
487,Wyllie J.,Barker W.R.,0
488,Barker W.R.,Wyllie J.,0
489,Wyllie J.,Barker W.R.,0
490,Barker W.R.,Wyllie J.,0
491,Wyllie J.,Barker W.R.,0
492,Barker W.R.,Wyllie J.,0
493,Wyllie J.,Barker W.R.,0
494,Barker W.R.,Wyllie J.,0
495,Wyllie J.,Barker W.R.,0
496,Barker W.R.,Wyllie J.,0
497,Wyllie J.,Barker W.R.,0
498,Barker W.R.,Wyllie J.,0
499,Wyllie J.,Barker W.R.,0
500,Barker W.R.,Wyllie J.,0
501,Wyllie J.,Barker W.R.,0
502,Barker W.R.,Wyllie J.,2
503,Wyllie J.,Barker W.R.,0
504,Hanhouser,Wyllie J.,2
505,Fletcher T.,Bletcher J.,2
506,Bletcher J.,Fletcher T.,0
507,Fletcher T.,Bletcher J.,1
508,Bletcher J.,Fletcher T.,0
509,Fletcher T.,Bletcher J.,2
510,Bletcher J.,Fletcher T.,2
511,Fletcher T.,Bletcher J.,2
512,Bletcher J.,Fletcher T.,2
513,Fletcher T.,Bletcher J.,0
